070,870.00,115.74,885.60,133.57
071,870.00,115.74,885.60,133.57
080,878.92,141.00,893.03,157.35
081,878.92,141.00,893.03,157.35
090,887.15,166.14,906.41,182.83
091,887.15,166.14,906.41,182.83
100,899.99,191.81,915.39,209.79
101,899.99,191.81,915.39,209.79
110,911.54,223.91,930.80,245.74
111,911.54,223.91,930.80,245.74
120,926.95,257.29,942.35,273.98
121,926.95,257.29,942.35,273.98
130,941.07,304.79,959.04,324.05
131,941.07,304.79,959.04,324.05
140,960.33,360.00,979.58,383.11
141,960.33,360.00,979.58,383.11
